image_path,condition,contour_id,contour_points
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_163_2be54f63-1.0182.png,1,1,"[[[578, 185]], [[577, 186]], [[579, 188]], [[580, 187]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_173_6d9c3715-1.0192.png,1,0,"[[[610, 140]], [[609, 141]], [[610, 142]], [[611, 141]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_188_51ebe5de-1.0107.png,1,0,"[[[608, 156]], [[607, 157]], [[607, 158]], [[608, 159]], [[611, 159]], [[612, 158]], [[610, 156]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_228_b69d040b-1.0147.png,1,0,"[[[579, 184]], [[577, 186]], [[577, 187]], [[580, 190]], [[581, 189]], [[582, 189]], [[585, 192]], [[586, 192]], [[588, 190]], [[591, 193]], [[592, 193]], [[594, 191]], [[595, 191]], [[597, 189]], [[598, 190]], [[599, 190]], [[601, 188]], [[601, 187]], [[600, 186]], [[598, 186]], [[597, 187]], [[596, 186]], [[595, 186]], [[594, 185]], [[592, 187]], [[591, 187]], [[590, 188]], [[587, 185]], [[586, 185]], [[584, 187]], [[583, 186]], [[582, 186]], [[580, 184]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_228_b69d040b-1.0147.png,1,1,"[[[516, 184]], [[515, 185]], [[513, 185]], [[510, 188]], [[510, 189]], [[507, 192]], [[506, 191]], [[504, 191]], [[503, 192]], [[502, 191]], [[501, 192]], [[501, 193]], [[503, 195]], [[505, 195]], [[508, 192]], [[509, 193]], [[510, 193]], [[512, 191]], [[513, 191]], [[514, 190]], [[515, 190]], [[518, 187]], [[518, 186]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_228_b69d040b-1.0147.png,1,2,"[[[514, 173]], [[513, 174]], [[515, 176]], [[516, 175]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_228_b69d040b-1.0147.png,1,3,"[[[597, 170]], [[596, 171]], [[598, 173]], [[599, 172]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_228_b69d040b-1.0147.png,1,4,"[[[604, 157]], [[603, 158]], [[604, 159]], [[607, 159]], [[608, 160]], [[609, 159]], [[608, 158]], [[607, 158]], [[606, 157]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_228_b69d040b-1.0147.png,1,5,"[[[575, 157]], [[574, 158]], [[575, 159]], [[576, 158]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_228_b69d040b-1.0147.png,1,6,"[[[516, 155]], [[515, 156]], [[517, 158]], [[518, 157]], [[518, 156]], [[517, 155]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_230_85ee69b8-1.0149.png,1,0,"[[[562, 184]], [[561, 185]], [[562, 186]], [[563, 185]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_230_85ee69b8-1.0149.png,1,1,"[[[580, 171]], [[579, 172]], [[579, 173]], [[580, 174]], [[581, 173]], [[581, 172]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_230_85ee69b8-1.0149.png,1,2,"[[[565, 154]], [[562, 157]], [[560, 157]], [[559, 158]], [[561, 160]], [[562, 160]], [[563, 159]], [[565, 159]], [[566, 158]], [[568, 158]], [[569, 159]], [[575, 159]], [[577, 161]], [[578, 160]], [[577, 159]], [[577, 158]], [[576, 157]], [[573, 157]], [[572, 156]], [[570, 156]], [[569, 155]], [[568, 156]], [[567, 156]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_235_c3139eb4-1.0154.png,1,0,"[[[519, 168]], [[518, 169]], [[518, 170]], [[519, 171]], [[517, 173]], [[518, 174]], [[518, 175]], [[519, 176]], [[519, 178]], [[520, 179]], [[521, 178]], [[521, 176]], [[522, 175]], [[521, 174]], [[521, 170]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_235_c3139eb4-1.0154.png,1,1,"[[[523, 150]], [[522, 151]], [[523, 152]], [[524, 151]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_240_5775a7f2-1.0159.png,1,0,"[[[575, 157]], [[574, 158]], [[574, 159]], [[575, 160]], [[576, 159]], [[576, 158]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_246_37a129f9-1.0165.png,1,0,"[[[605, 144]], [[604, 145]], [[605, 146]], [[606, 145]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_259_43bce4fa-1.0178.png,1,0,"[[[608, 185]], [[606, 187]], [[607, 188]], [[606, 189]], [[607, 190]], [[608, 190]], [[609, 189]], [[609, 188]], [[610, 187]], [[610, 186]], [[609, 185]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_259_43bce4fa-1.0178.png,1,1,"[[[607, 156]], [[606, 157]], [[606, 158]], [[607, 159]], [[609, 159]], [[610, 158]], [[611, 159]], [[612, 158]], [[611, 157]], [[610, 158]], [[608, 156]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\1\temp_combined\task_88_aea2c208-1.0035.png,1,0,"[[[507, 155]], [[505, 157]], [[507, 159]], [[510, 159]], [[511, 158]], [[512, 158]], [[513, 159]], [[515, 159]], [[516, 158]], [[514, 156]], [[512, 156]], [[511, 157]], [[510, 157]], [[508, 155]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_263_7a6f3f7e--20_dbm.0098.png,2,0,"[[[164, 95]], [[163, 96]], [[164, 97]], [[165, 97]], [[166, 96]], [[165, 95]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_264_65cd759a--20_dbm.0099.png,2,0,"[[[171, 115]], [[170, 116]], [[171, 117]], [[172, 116]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_264_65cd759a--20_dbm.0099.png,2,1,"[[[111, 113]], [[109, 115]], [[110, 116]], [[112, 114]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_264_65cd759a--20_dbm.0099.png,2,2,"[[[132, 112]], [[131, 113]], [[132, 114]], [[133, 113]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_264_65cd759a--20_dbm.0099.png,2,3,"[[[208, 109]], [[206, 111]], [[207, 112]], [[209, 110]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_264_65cd759a--20_dbm.0099.png,2,4,"[[[97, 109]], [[96, 110]], [[97, 111]], [[98, 110]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_264_65cd759a--20_dbm.0099.png,2,5,"[[[190, 92]], [[189, 93]], [[190, 94]], [[191, 93]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_264_65cd759a--20_dbm.0099.png,2,6,"[[[178, 91]], [[177, 92]], [[178, 93]], [[179, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_266_1080f18b--20_dbm.0001.png,2,0,"[[[94, 98]], [[93, 99]], [[92, 99]], [[91, 100]], [[92, 101]], [[95, 101]], [[96, 100]], [[96, 99]], [[95, 98]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_268_d7213051--20_dbm.0003.png,2,0,"[[[102, 100]], [[101, 101]], [[102, 102]], [[103, 101]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_268_d7213051--20_dbm.0003.png,2,1,"[[[124, 94]], [[123, 95]], [[124, 96]], [[125, 95]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_268_d7213051--20_dbm.0003.png,2,2,"[[[200, 92]], [[199, 93]], [[201, 95]], [[202, 94]], [[202, 93]], [[201, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_268_d7213051--20_dbm.0003.png,2,3,"[[[156, 92]], [[155, 93]], [[156, 94]], [[157, 93]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_268_d7213051--20_dbm.0003.png,2,4,"[[[178, 91]], [[177, 92]], [[178, 93]], [[179, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_269_13c9b61f--20_dbm.0004.png,2,0,"[[[157, 107]], [[156, 108]], [[155, 108]], [[151, 112]], [[150, 111]], [[148, 111]], [[146, 113]], [[143, 110]], [[141, 110]], [[139, 108]], [[138, 109]], [[141, 112]], [[143, 112]], [[145, 114]], [[147, 112]], [[148, 113]], [[150, 113]], [[151, 112]], [[152, 113]], [[154, 113]], [[155, 112]], [[157, 112]], [[159, 110]], [[158, 109]], [[158, 108]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_269_13c9b61f--20_dbm.0004.png,2,1,"[[[145, 98]], [[144, 99]], [[145, 100]], [[146, 99]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_269_13c9b61f--20_dbm.0004.png,2,2,"[[[135, 98]], [[134, 99]], [[135, 100]], [[136, 99]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_269_13c9b61f--20_dbm.0004.png,2,3,"[[[179, 96]], [[178, 97]], [[179, 98]], [[180, 98]], [[181, 97]], [[180, 96]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_269_13c9b61f--20_dbm.0004.png,2,4,"[[[150, 89]], [[149, 90]], [[150, 91]], [[151, 91]], [[152, 92]], [[153, 92]], [[155, 94]], [[157, 92]], [[154, 89]], [[153, 90]], [[152, 89]], [[151, 90]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_269_13c9b61f--20_dbm.0004.png,2,5,"[[[144, 89]], [[143, 90]], [[144, 91]], [[145, 90]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_269_13c9b61f--20_dbm.0004.png,2,6,"[[[97, 76]], [[96, 77]], [[97, 78]], [[98, 77]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_269_13c9b61f--20_dbm.0004.png,2,7,"[[[179, 70]], [[178, 71]], [[177, 71]], [[176, 72]], [[177, 73]], [[181, 73]], [[182, 72]], [[180, 70]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_275_db85b31b--20_dbm.0010.png,2,0,"[[[181, 124]], [[180, 125]], [[181, 126]], [[182, 125]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_275_db85b31b--20_dbm.0010.png,2,1,"[[[110, 121]], [[109, 122]], [[110, 123]], [[111, 122]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_275_db85b31b--20_dbm.0010.png,2,2,"[[[185, 105]], [[184, 106]], [[185, 107]], [[186, 106]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_275_db85b31b--20_dbm.0010.png,2,3,"[[[163, 92]], [[162, 93]], [[163, 94]], [[164, 94]], [[165, 93]], [[164, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_275_db85b31b--20_dbm.0010.png,2,4,"[[[92, 91]], [[91, 92]], [[92, 93]], [[93, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_275_db85b31b--20_dbm.0010.png,2,5,"[[[191, 90]], [[190, 91]], [[191, 92]], [[192, 91]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_275_db85b31b--20_dbm.0010.png,2,6,"[[[128, 71]], [[127, 72]], [[125, 72]], [[123, 74]], [[122, 73]], [[120, 75]], [[119, 74]], [[118, 74]], [[111, 81]], [[111, 82]], [[110, 83]], [[110, 86]], [[109, 87]], [[109, 88]], [[110, 89]], [[110, 91]], [[109, 92]], [[109, 96]], [[110, 97]], [[110, 101]], [[112, 103]], [[112, 104]], [[116, 108]], [[117, 108]], [[118, 109]], [[119, 109]], [[121, 111]], [[122, 111]], [[123, 112]], [[126, 112]], [[127, 113]], [[128, 112]], [[135, 112]], [[136, 111]], [[138, 111]], [[140, 109]], [[141, 109]], [[143, 107]], [[144, 107]], [[147, 104]], [[147, 103]], [[149, 101]], [[149, 99]], [[150, 98]], [[150, 95]], [[151, 94]], [[151, 88]], [[150, 87]], [[150, 84]], [[149, 83]], [[149, 82]], [[148, 81]], [[148, 80]], [[141, 73]], [[139, 73]], [[138, 72]], [[135, 72]], [[134, 71]], [[133, 72]], [[132, 71]], [[131, 72]], [[130, 72]], [[129, 71]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_282_26a61ccc--20_dbm.0017.png,2,0,"[[[132, 123]], [[131, 124]], [[132, 125]], [[133, 124]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_282_26a61ccc--20_dbm.0017.png,2,1,"[[[123, 112]], [[122, 113]], [[123, 114]], [[124, 113]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_282_26a61ccc--20_dbm.0017.png,2,2,"[[[174, 92]], [[173, 93]], [[173, 94]], [[174, 95]], [[175, 94]], [[175, 93]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_282_26a61ccc--20_dbm.0017.png,2,3,"[[[165, 90]], [[164, 91]], [[166, 93]], [[167, 92]], [[167, 91]], [[166, 90]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_282_26a61ccc--20_dbm.0017.png,2,4,"[[[91, 79]], [[90, 80]], [[87, 80]], [[86, 81]], [[84, 81]], [[83, 82]], [[82, 82]], [[80, 84]], [[80, 85]], [[76, 89]], [[76, 91]], [[75, 92]], [[75, 93]], [[74, 94]], [[74, 95]], [[75, 96]], [[75, 97]], [[74, 98]], [[74, 100]], [[75, 101]], [[75, 104]], [[77, 106]], [[77, 108]], [[81, 112]], [[82, 112]], [[83, 113]], [[84, 113]], [[85, 114]], [[88, 114]], [[89, 115]], [[95, 115]], [[96, 114]], [[99, 114]], [[100, 113]], [[101, 113]], [[103, 111]], [[104, 111]], [[106, 109]], [[106, 108]], [[108, 106]], [[108, 105]], [[109, 104]], [[109, 103]], [[110, 102]], [[110, 100]], [[111, 99]], [[111, 98]], [[110, 97]], [[111, 96]], [[111, 94]], [[110, 93]], [[110, 90]], [[109, 89]], [[109, 88]], [[106, 85]], [[106, 84]], [[105, 83]], [[104, 83]], [[102, 81]], [[100, 81]], [[99, 80]], [[98, 80]], [[97, 79]], [[94, 79]], [[93, 80]], [[92, 79]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_288_547e7853--20_dbm.0023.png,2,0,"[[[196, 70]], [[194, 72]], [[193, 71]], [[192, 71]], [[190, 73]], [[189, 73]], [[187, 75]], [[186, 75]], [[184, 77]], [[184, 78]], [[182, 80]], [[182, 81]], [[181, 82]], [[181, 90]], [[182, 91]], [[182, 92]], [[183, 93]], [[183, 94]], [[185, 96]], [[185, 97]], [[188, 100]], [[189, 100]], [[190, 101]], [[191, 101]], [[192, 102]], [[197, 102]], [[198, 103]], [[199, 103]], [[200, 102]], [[203, 102]], [[205, 100]], [[207, 100]], [[209, 98]], [[210, 98]], [[211, 97]], [[211, 96]], [[212, 95]], [[212, 94]], [[214, 92]], [[214, 84]], [[215, 83]], [[214, 82]], [[214, 80]], [[213, 79]], [[213, 78]], [[208, 73]], [[207, 73]], [[205, 71]], [[199, 71]], [[198, 70]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_289_bd7e5a97--20_dbm.0024.png,2,0,"[[[187, 103]], [[182, 108]], [[183, 109]], [[188, 104]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_289_bd7e5a97--20_dbm.0024.png,2,1,"[[[133, 98]], [[131, 100]], [[132, 101]], [[134, 99]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_289_bd7e5a97--20_dbm.0024.png,2,2,"[[[198, 96]], [[197, 97]], [[197, 98]], [[198, 99]], [[199, 99]], [[200, 98]], [[200, 97]], [[199, 96]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_289_bd7e5a97--20_dbm.0024.png,2,3,"[[[164, 95]], [[160, 99]], [[161, 100]], [[162, 100]], [[164, 98]], [[165, 98]], [[166, 97]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_289_bd7e5a97--20_dbm.0024.png,2,4,"[[[123, 95]], [[122, 96]], [[123, 97]], [[124, 96]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_289_bd7e5a97--20_dbm.0024.png,2,5,"[[[155, 89]], [[154, 90]], [[156, 92]], [[157, 91]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_290_8a41c486--20_dbm.0025.png,2,0,"[[[155, 88]], [[154, 89]], [[155, 90]], [[156, 90]], [[157, 89]], [[156, 88]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_295_9cd9c978--20_dbm.0030.png,2,0,"[[[199, 123]], [[198, 124]], [[199, 125]], [[200, 124]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_295_9cd9c978--20_dbm.0030.png,2,1,"[[[128, 112]], [[127, 113]], [[129, 115]], [[130, 114]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_295_9cd9c978--20_dbm.0030.png,2,2,"[[[177, 92]], [[175, 94]], [[176, 95]], [[178, 93]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_295_9cd9c978--20_dbm.0030.png,2,3,"[[[101, 74]], [[99, 76]], [[96, 76]], [[95, 77]], [[94, 77]], [[93, 76]], [[92, 77]], [[92, 80]], [[89, 83]], [[89, 85]], [[90, 86]], [[90, 88]], [[88, 90]], [[89, 91]], [[89, 92]], [[90, 93]], [[90, 94]], [[94, 98]], [[95, 98]], [[97, 100]], [[98, 99]], [[100, 101]], [[103, 101]], [[105, 99]], [[107, 99]], [[108, 98]], [[112, 98]], [[116, 94]], [[116, 93]], [[117, 92]], [[117, 87]], [[118, 86]], [[118, 83]], [[117, 82]], [[117, 81]], [[112, 76]], [[111, 76]], [[110, 75]], [[103, 75]], [[102, 74]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_296_aea778c3--20_dbm.0031.png,2,0,"[[[145, 122]], [[144, 123]], [[145, 124]], [[146, 123]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_296_aea778c3--20_dbm.0031.png,2,1,"[[[128, 112]], [[127, 113]], [[129, 115]], [[130, 115]], [[131, 114]], [[129, 112]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_296_aea778c3--20_dbm.0031.png,2,2,"[[[185, 101]], [[184, 102]], [[185, 103]], [[186, 102]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_296_aea778c3--20_dbm.0031.png,2,3,"[[[165, 98]], [[163, 100]], [[164, 101]], [[165, 101]], [[167, 99]], [[166, 98]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_296_aea778c3--20_dbm.0031.png,2,4,"[[[201, 96]], [[198, 99]], [[199, 100]], [[202, 97]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_296_aea778c3--20_dbm.0031.png,2,5,"[[[124, 93]], [[123, 94]], [[124, 95]], [[125, 94]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_296_aea778c3--20_dbm.0031.png,2,6,"[[[177, 91]], [[175, 93]], [[176, 94]], [[178, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_296_aea778c3--20_dbm.0031.png,2,7,"[[[192, 89]], [[191, 90]], [[193, 92]], [[194, 91]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_302_a352f4d8--20_dbm.0037.png,2,0,"[[[144, 121]], [[143, 122]], [[145, 124]], [[146, 123]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_302_a352f4d8--20_dbm.0037.png,2,1,"[[[116, 99]], [[115, 100]], [[116, 101]], [[117, 100]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_302_a352f4d8--20_dbm.0037.png,2,2,"[[[94, 91]], [[93, 92]], [[94, 93]], [[95, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_303_82a01308--20_dbm.0038.png,2,0,"[[[101, 113]], [[100, 114]], [[102, 116]], [[103, 115]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_303_82a01308--20_dbm.0038.png,2,1,"[[[212, 110]], [[211, 111]], [[212, 112]], [[213, 111]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_303_82a01308--20_dbm.0038.png,2,2,"[[[191, 91]], [[188, 94]], [[189, 95]], [[192, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_303_82a01308--20_dbm.0038.png,2,3,"[[[178, 91]], [[177, 92]], [[178, 93]], [[179, 92]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_303_82a01308--20_dbm.0038.png,2,4,"[[[166, 63]], [[165, 64]], [[166, 65]], [[167, 64]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_304_12105ec3--20_dbm.0039.png,2,0,"[[[204, 84]], [[203, 85]], [[204, 86]], [[205, 85]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_305_ac5ea91e--20_dbm.0040.png,2,0,"[[[165, 81]], [[164, 82]], [[163, 82]], [[162, 83]], [[159, 83]], [[154, 88]], [[154, 89]], [[152, 91]], [[152, 94]], [[151, 95]], [[151, 104]], [[153, 106]], [[153, 107]], [[158, 112]], [[159, 112]], [[161, 114]], [[168, 114]], [[169, 115]], [[170, 115]], [[171, 114]], [[174, 114]], [[175, 113]], [[176, 113]], [[177, 112]], [[178, 112]], [[183, 107]], [[183, 106]], [[184, 105]], [[184, 104]], [[185, 103]], [[185, 98]], [[186, 97]], [[186, 96]], [[185, 95]], [[185, 92]], [[184, 91]], [[184, 90]], [[183, 89]], [[183, 88]], [[178, 83]], [[177, 83]], [[176, 82]], [[174, 82]], [[173, 81]], [[170, 81]], [[169, 82]], [[168, 81]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_309_9a83b59e--20_dbm.0044.png,2,0,"[[[111, 122]], [[109, 124]], [[110, 125]], [[112, 123]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_309_9a83b59e--20_dbm.0044.png,2,1,"[[[178, 97]], [[176, 99]], [[177, 100]], [[179, 98]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_309_9a83b59e--20_dbm.0044.png,2,2,"[[[136, 86]], [[135, 87]], [[133, 87]], [[129, 91]], [[128, 91]], [[127, 92]], [[127, 93]], [[125, 95]], [[125, 96]], [[124, 97]], [[124, 104]], [[125, 105]], [[125, 106]], [[126, 107]], [[126, 109]], [[127, 110]], [[127, 111]], [[128, 112]], [[129, 112]], [[131, 114]], [[132, 114]], [[133, 115]], [[136, 115]], [[137, 114]], [[138, 115]], [[139, 114]], [[142, 114]], [[143, 113]], [[146, 113]], [[149, 110]], [[149, 109]], [[151, 107]], [[151, 106]], [[152, 105]], [[152, 103]], [[153, 102]], [[153, 98]], [[152, 97]], [[152, 96]], [[151, 95]], [[151, 94]], [[150, 93]], [[150, 92]], [[148, 90]], [[147, 90]], [[146, 89]], [[143, 89]], [[141, 87]], [[139, 87]], [[138, 86]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_309_9a83b59e--20_dbm.0044.png,2,3,"[[[164, 83]], [[163, 84]], [[163, 85]], [[167, 89]], [[168, 88]], [[166, 86]], [[166, 85]]]"
D:\code\ai_cytometry\data\example_exported_data\opencv_images\2\temp_combined\task_309_9a83b59e--20_dbm.0044.png,2,4,"[[[117, 79]], [[116, 80]], [[117, 81]], [[118, 80]]]"
